isRefactor,totalRefactors,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,revision,age,authors,totalAuthors,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions,isSZZBugIntroducer
False,0.0,0.9987,0.8571,0.8571,0.8571,2.0,7326956.0,1.0,1.0,0.0,221.0,inf,0.8357,0.2723,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,53.0,1.0,0.9276,0.2599,3.0,False
False,0.0,0.988,0.988,0.988,0.988,1.0,284340.0,1.0,1.0,106.0,53.0,0.5,0.9297,0.2907,,False
False,0.0,0.988,0.988,0.988,0.988,2.0,287248.0,1.0,1.0,159.0,53.0,0.33333334,0.9294,0.3329,,False
False,0.0,,,0.9802,0.9802,3.0,482237.0,1.0,2.0,212.0,53.0,0.25,0.9285,0.3788,,True
False,0.0,,0.5,0.9175,0.4587,4.0,3897429.0,2.0,3.0,265.0,53.0,0.2,0.9264,0.4056,3.0,True
False,0.0,0.4125,0.431,0.9067,0.4534,5.0,4219896.0,2.0,3.0,265.0,2.0,0.00754717,0.9266,0.4093,,False
False,0.0,,0.1705,0.7844,0.2615,6.0,8558891.0,3.0,4.0,285.0,22.0,0.077192985,0.9231,0.3972,3.0,True
False,0.0,0.2942,0.3997,0.8135,0.2712,7.0,8611611.0,3.0,4.0,305.0,22.0,0.07213115,0.9249,0.4047,,False
False,0.0,0.3694,0.4473,0.7823,0.2608,8.0,10295340.0,3.0,4.0,325.0,22.0,0.06769231,0.9247,0.406,,False
False,0.0,0.4349,0.6056,0.833,0.2777,9.0,10909973.0,3.0,4.0,398.0,73.0,0.18341708,0.925,0.4178,,False
False,0.0,0.0642,0.0915,0.6353,0.2118,10.0,14861759.0,3.0,4.0,325.0,73.0,0.22461538,0.9223,0.4261,,True
False,0.0,0.0851,0.0556,0.1333,0.0444,11.0,46254083.0,3.0,4.0,272.0,53.0,0.19485295,0.8013,0.2296,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,435.0,435.0,1.0,0.8269,0.0002,,True
False,0.0,,0.0046,0.016,0.008,1.0,96254654.0,2.0,2.0,436.0,1.0,0.0022935779,0.7471,0.4172,,False
False,0.0,0.0045,0.0045,0.0158,0.0079,2.0,96541092.0,2.0,2.0,437.0,1.0,0.0022883294,0.7667,0.5313,,False
False,0.0,0.0045,0.0045,0.0158,0.0079,3.0,96545811.0,2.0,2.0,438.0,1.0,0.002283105,0.7685,0.5664,,False
False,0.0,0.0044,0.0044,0.0155,0.0078,4.0,96951850.0,2.0,2.0,439.0,1.0,0.0022779044,0.7876,0.5718,,False
False,0.0,0.0026,,0.0065,0.0065,5.0,108622468.0,1.0,2.0,3.0,436.0,145.33333,0.7981,0.4948,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,511.0,511.0,1.0,0.8269,0.0002,14.0,True
False,0.0,0.7141,0.9994,0.9994,0.9994,1.0,7325546.0,1.0,1.0,513.0,513.0,1.0,0.8314,0.1461,14.0,True
False,0.0,0.9994,0.8571,0.8571,0.8571,2.0,7326956.0,1.0,1.0,0.0,513.0,inf,0.8357,0.2723,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,53.0,1.0,0.9276,0.2599,3.0,False
False,0.0,0.988,0.988,0.988,0.988,1.0,284340.0,1.0,1.0,106.0,53.0,0.5,0.9297,0.2907,,False
False,0.0,0.988,0.988,0.988,0.988,2.0,287248.0,1.0,1.0,159.0,53.0,0.33333334,0.9294,0.3329,,False
False,0.0,,,0.9802,0.9802,3.0,482237.0,1.0,2.0,212.0,53.0,0.25,0.9285,0.3788,,True
False,0.0,,0.5,0.9175,0.4587,4.0,3897429.0,2.0,3.0,265.0,53.0,0.2,0.9264,0.4056,3.0,True
False,0.0,0.4125,0.431,0.9067,0.4534,5.0,4219896.0,2.0,3.0,265.0,2.0,0.00754717,0.9266,0.4093,,False
False,0.0,,0.1705,0.7844,0.2615,6.0,8558891.0,3.0,4.0,285.0,22.0,0.077192985,0.9231,0.3972,3.0,True
False,0.0,0.2942,0.3997,0.8135,0.2712,7.0,8611611.0,3.0,4.0,305.0,22.0,0.07213115,0.9249,0.4047,,False
False,0.0,0.3694,0.4473,0.7823,0.2608,8.0,10295340.0,3.0,4.0,325.0,22.0,0.06769231,0.9247,0.406,,False
False,0.0,0.4349,0.6056,0.833,0.2777,9.0,10909973.0,3.0,4.0,398.0,73.0,0.18341708,0.925,0.4178,,False
False,0.0,0.0642,0.0915,0.6353,0.2118,10.0,14861759.0,3.0,4.0,325.0,73.0,0.22461538,0.9223,0.4261,,True
False,0.0,0.0851,0.0556,0.1333,0.0444,11.0,46254083.0,3.0,4.0,272.0,53.0,0.19485295,0.8013,0.2296,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,452.0,452.0,1.0,0.8269,0.0002,16.0,True
False,0.0,0.7141,0.9994,0.9994,0.9994,1.0,7325546.0,1.0,1.0,454.0,454.0,1.0,0.8314,0.1461,16.0,True
False,0.0,0.9994,0.8571,0.8571,0.8571,2.0,7326956.0,1.0,1.0,0.0,454.0,inf,0.8357,0.2723,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,53.0,1.0,0.9276,0.2599,3.0,False
False,0.0,0.988,0.988,0.988,0.988,1.0,284340.0,1.0,1.0,106.0,53.0,0.5,0.9297,0.2907,,False
False,0.0,0.988,0.988,0.988,0.988,2.0,287248.0,1.0,1.0,159.0,53.0,0.33333334,0.9294,0.3329,,False
False,0.0,,,0.9802,0.9802,3.0,482237.0,1.0,2.0,212.0,53.0,0.25,0.9285,0.3788,,True
False,0.0,,0.5,0.9175,0.4587,4.0,3897429.0,2.0,3.0,265.0,53.0,0.2,0.9264,0.4056,3.0,True
False,0.0,0.4125,0.431,0.9067,0.4534,5.0,4219896.0,2.0,3.0,265.0,2.0,0.00754717,0.9266,0.4093,,False
False,0.0,,0.1705,0.7844,0.2615,6.0,8558891.0,3.0,4.0,285.0,22.0,0.077192985,0.9231,0.3972,3.0,True
False,0.0,0.2942,0.3997,0.8135,0.2712,7.0,8611611.0,3.0,4.0,305.0,22.0,0.07213115,0.9249,0.4047,,False
False,0.0,0.3694,0.4473,0.7823,0.2608,8.0,10295340.0,3.0,4.0,325.0,22.0,0.06769231,0.9247,0.406,,False
False,0.0,0.4349,0.6056,0.833,0.2777,9.0,10909973.0,3.0,4.0,398.0,73.0,0.18341708,0.925,0.4178,,False
False,0.0,0.0642,0.0915,0.6353,0.2118,10.0,14861759.0,3.0,4.0,325.0,73.0,0.22461538,0.9223,0.4261,,True
False,0.0,0.0851,0.0556,0.1333,0.0444,11.0,46254083.0,3.0,4.0,272.0,53.0,0.19485295,0.8013,0.2296,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2231.0,2231.0,1.0,0.8269,0.0002,,True
False,0.0,,,0.0065,0.0065,1.0,108622468.0,1.0,2.0,0.0,2231.0,inf,0.7981,0.4948,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,134.0,134.0,1.0,0.8269,0.0002,5.0,True
False,0.0,0.7141,0.9979,0.9979,0.9979,1.0,7325546.0,1.0,1.0,136.0,136.0,1.0,0.8314,0.1461,5.0,True
False,0.0,0.9979,0.8571,0.8571,0.8571,2.0,7326956.0,1.0,1.0,0.0,136.0,inf,0.8357,0.2723,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,53.0,1.0,0.9276,0.2599,3.0,False
False,0.0,0.988,0.988,0.988,0.988,1.0,284340.0,1.0,1.0,106.0,53.0,0.5,0.9297,0.2907,,False
False,0.0,0.988,0.988,0.988,0.988,2.0,287248.0,1.0,1.0,159.0,53.0,0.33333334,0.9294,0.3329,,False
False,0.0,,,0.9802,0.9802,3.0,482237.0,1.0,2.0,212.0,53.0,0.25,0.9285,0.3788,,True
False,0.0,,0.5,0.9175,0.4587,4.0,3897429.0,2.0,3.0,265.0,53.0,0.2,0.9264,0.4056,3.0,True
False,0.0,0.4125,0.431,0.9067,0.4534,5.0,4219896.0,2.0,3.0,265.0,2.0,0.00754717,0.9266,0.4093,,False
False,0.0,,0.1705,0.7844,0.2615,6.0,8558891.0,3.0,4.0,285.0,22.0,0.077192985,0.9231,0.3972,3.0,True
False,0.0,0.2942,0.3997,0.8135,0.2712,7.0,8611611.0,3.0,4.0,305.0,22.0,0.07213115,0.9249,0.4047,,False
False,0.0,0.3694,0.4473,0.7823,0.2608,8.0,10295340.0,3.0,4.0,325.0,22.0,0.06769231,0.9247,0.406,,False
False,0.0,0.4349,0.6056,0.833,0.2777,9.0,10909973.0,3.0,4.0,398.0,73.0,0.18341708,0.925,0.4178,,False
False,0.0,0.0642,0.0915,0.6353,0.2118,10.0,14861759.0,3.0,4.0,325.0,73.0,0.22461538,0.9223,0.4261,,True
False,0.0,0.0851,0.0556,0.1333,0.0444,11.0,46254083.0,3.0,4.0,272.0,53.0,0.19485295,0.8013,0.2296,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,141.0,141.0,1.0,0.8269,0.0002,5.0,True
False,0.0,0.7141,0.998,0.998,0.998,1.0,7325546.0,1.0,1.0,143.0,143.0,1.0,0.8314,0.1461,5.0,True
False,0.0,0.998,0.8571,0.8571,0.8571,2.0,7326956.0,1.0,1.0,0.0,143.0,inf,0.8357,0.2723,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,53.0,1.0,0.9276,0.2599,3.0,False
False,0.0,0.988,0.988,0.988,0.988,1.0,284340.0,1.0,1.0,106.0,53.0,0.5,0.9297,0.2907,,False
False,0.0,0.988,0.988,0.988,0.988,2.0,287248.0,1.0,1.0,159.0,53.0,0.33333334,0.9294,0.3329,,False
False,0.0,,,0.9802,0.9802,3.0,482237.0,1.0,2.0,212.0,53.0,0.25,0.9285,0.3788,,True
False,0.0,,0.5,0.9175,0.4587,4.0,3897429.0,2.0,3.0,265.0,53.0,0.2,0.9264,0.4056,3.0,True
False,0.0,0.4125,0.431,0.9067,0.4534,5.0,4219896.0,2.0,3.0,265.0,2.0,0.00754717,0.9266,0.4093,,False
False,0.0,,0.1705,0.7844,0.2615,6.0,8558891.0,3.0,4.0,285.0,22.0,0.077192985,0.9231,0.3972,3.0,True
False,0.0,0.2942,0.3997,0.8135,0.2712,7.0,8611611.0,3.0,4.0,305.0,22.0,0.07213115,0.9249,0.4047,,False
False,0.0,0.3694,0.4473,0.7823,0.2608,8.0,10295340.0,3.0,4.0,325.0,22.0,0.06769231,0.9247,0.406,,False
False,0.0,0.4349,0.6056,0.833,0.2777,9.0,10909973.0,3.0,4.0,398.0,73.0,0.18341708,0.925,0.4178,,False
False,0.0,0.0642,0.0915,0.6353,0.2118,10.0,14861759.0,3.0,4.0,325.0,73.0,0.22461538,0.9223,0.4261,,True
False,0.0,0.0851,0.0556,0.1333,0.0444,11.0,46254083.0,3.0,4.0,272.0,53.0,0.19485295,0.8013,0.2296,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2577.0,2577.0,1.0,0.8269,0.0002,,True
False,0.0,,,0.0065,0.0065,1.0,108622468.0,1.0,2.0,0.0,2577.0,inf,0.7981,0.4948,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,593.0,593.0,1.0,0.8269,0.0002,17.0,True
False,0.0,0.7141,0.9995,0.9995,0.9995,1.0,7325546.0,1.0,1.0,595.0,595.0,1.0,0.8314,0.1461,17.0,True
False,0.0,0.9995,0.8571,0.8571,0.8571,2.0,7326956.0,1.0,1.0,0.0,595.0,inf,0.8357,0.2723,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,53.0,1.0,0.9276,0.2599,3.0,False
False,0.0,0.988,0.988,0.988,0.988,1.0,284340.0,1.0,1.0,106.0,53.0,0.5,0.9297,0.2907,,False
False,0.0,0.988,0.988,0.988,0.988,2.0,287248.0,1.0,1.0,159.0,53.0,0.33333334,0.9294,0.3329,,False
False,0.0,,,0.9802,0.9802,3.0,482237.0,1.0,2.0,212.0,53.0,0.25,0.9285,0.3788,,True
False,0.0,,0.5,0.9175,0.4587,4.0,3897429.0,2.0,3.0,265.0,53.0,0.2,0.9264,0.4056,3.0,True
False,0.0,0.4125,0.431,0.9067,0.4534,5.0,4219896.0,2.0,3.0,265.0,2.0,0.00754717,0.9266,0.4093,,False
False,0.0,,0.1705,0.7844,0.2615,6.0,8558891.0,3.0,4.0,285.0,22.0,0.077192985,0.9231,0.3972,3.0,True
False,0.0,0.2942,0.3997,0.8135,0.2712,7.0,8611611.0,3.0,4.0,305.0,22.0,0.07213115,0.9249,0.4047,,False
False,0.0,0.3694,0.4473,0.7823,0.2608,8.0,10295340.0,3.0,4.0,325.0,22.0,0.06769231,0.9247,0.406,,False
False,0.0,0.4349,0.6056,0.833,0.2777,9.0,10909973.0,3.0,4.0,398.0,73.0,0.18341708,0.925,0.4178,,False
False,0.0,0.0642,0.0915,0.6353,0.2118,10.0,14861759.0,3.0,4.0,325.0,73.0,0.22461538,0.9223,0.4261,,True
False,0.0,0.0851,0.0556,0.1333,0.0444,11.0,46254083.0,3.0,4.0,272.0,53.0,0.19485295,0.8013,0.2296,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1191.0,1191.0,1.0,0.8269,0.0002,30.0,True
False,0.0,0.7141,0.9998,0.9998,0.9998,1.0,7325546.0,1.0,1.0,1193.0,1193.0,1.0,0.8314,0.1461,30.0,True
False,0.0,0.9998,0.8571,0.8571,0.8571,2.0,7326956.0,1.0,1.0,0.0,1193.0,inf,0.8357,0.2723,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,53.0,1.0,0.9276,0.2599,3.0,False
False,0.0,0.988,0.988,0.988,0.988,1.0,284340.0,1.0,1.0,106.0,53.0,0.5,0.9297,0.2907,,False
False,0.0,0.988,0.988,0.988,0.988,2.0,287248.0,1.0,1.0,159.0,53.0,0.33333334,0.9294,0.3329,,False
False,0.0,,,0.9802,0.9802,3.0,482237.0,1.0,2.0,212.0,53.0,0.25,0.9285,0.3788,,True
False,0.0,,0.5,0.9175,0.4587,4.0,3897429.0,2.0,3.0,265.0,53.0,0.2,0.9264,0.4056,3.0,True
False,0.0,0.4125,0.431,0.9067,0.4534,5.0,4219896.0,2.0,3.0,265.0,2.0,0.00754717,0.9266,0.4093,,False
False,0.0,,0.1705,0.7844,0.2615,6.0,8558891.0,3.0,4.0,285.0,22.0,0.077192985,0.9231,0.3972,3.0,True
False,0.0,0.2942,0.3997,0.8135,0.2712,7.0,8611611.0,3.0,4.0,305.0,22.0,0.07213115,0.9249,0.4047,,False
False,0.0,0.3694,0.4473,0.7823,0.2608,8.0,10295340.0,3.0,4.0,325.0,22.0,0.06769231,0.9247,0.406,,False
False,0.0,0.4349,0.6056,0.833,0.2777,9.0,10909973.0,3.0,4.0,398.0,73.0,0.18341708,0.925,0.4178,,False
False,0.0,0.0642,0.0915,0.6353,0.2118,10.0,14861759.0,3.0,4.0,325.0,73.0,0.22461538,0.9223,0.4261,,True
False,0.0,0.0851,0.0556,0.1333,0.0444,11.0,46254083.0,3.0,4.0,272.0,53.0,0.19485295,0.8013,0.2296,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,347.0,347.0,1.0,0.8269,0.0002,10.0,True
False,0.0,0.7141,0.9992,0.9992,0.9992,1.0,7325546.0,1.0,1.0,349.0,349.0,1.0,0.8314,0.1461,10.0,True
False,0.0,0.9992,0.8571,0.8571,0.8571,2.0,7326956.0,1.0,1.0,0.0,349.0,inf,0.8357,0.2723,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,53.0,1.0,0.9276,0.2599,3.0,False
False,0.0,0.988,0.988,0.988,0.988,1.0,284340.0,1.0,1.0,106.0,53.0,0.5,0.9297,0.2907,,False
False,0.0,0.988,0.988,0.988,0.988,2.0,287248.0,1.0,1.0,159.0,53.0,0.33333334,0.9294,0.3329,,False
False,0.0,,,0.9802,0.9802,3.0,482237.0,1.0,2.0,212.0,53.0,0.25,0.9285,0.3788,,True
False,0.0,,0.5,0.9175,0.4587,4.0,3897429.0,2.0,3.0,265.0,53.0,0.2,0.9264,0.4056,3.0,True
False,0.0,0.4125,0.431,0.9067,0.4534,5.0,4219896.0,2.0,3.0,265.0,2.0,0.00754717,0.9266,0.4093,,False
False,0.0,,0.1705,0.7844,0.2615,6.0,8558891.0,3.0,4.0,285.0,22.0,0.077192985,0.9231,0.3972,3.0,True
False,0.0,0.2942,0.3997,0.8135,0.2712,7.0,8611611.0,3.0,4.0,305.0,22.0,0.07213115,0.9249,0.4047,,False
False,0.0,0.3694,0.4473,0.7823,0.2608,8.0,10295340.0,3.0,4.0,325.0,22.0,0.06769231,0.9247,0.406,,False
False,0.0,0.4349,0.6056,0.833,0.2777,9.0,10909973.0,3.0,4.0,398.0,73.0,0.18341708,0.925,0.4178,,False
False,0.0,0.0642,0.0915,0.6353,0.2118,10.0,14861759.0,3.0,4.0,325.0,73.0,0.22461538,0.9223,0.4261,,True
False,0.0,0.0851,0.0556,0.1333,0.0444,11.0,46254083.0,3.0,4.0,272.0,53.0,0.19485295,0.8013,0.2296,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,442.0,442.0,1.0,0.8269,0.0002,,True
False,0.0,,,0.0065,0.0065,1.0,108622468.0,1.0,2.0,0.0,442.0,inf,0.7981,0.4948,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,552.0,552.0,1.0,0.8269,0.0002,,True
False,0.0,,,0.0065,0.0065,1.0,108622468.0,1.0,2.0,0.0,552.0,inf,0.7981,0.4948,,True
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,53.0,1.0,0.9276,0.2599,3.0,False
False,0.0,0.988,0.988,0.988,0.988,1.0,284340.0,1.0,1.0,106.0,53.0,0.5,0.9297,0.2907,,False
False,0.0,0.988,0.988,0.988,0.988,2.0,287248.0,1.0,1.0,159.0,53.0,0.33333334,0.9294,0.3329,,False
False,0.0,,,0.9802,0.9802,3.0,482237.0,1.0,2.0,212.0,53.0,0.25,0.9285,0.3788,,True
False,0.0,,0.5,0.9175,0.4587,4.0,3897429.0,2.0,3.0,265.0,53.0,0.2,0.9264,0.4056,,True
False,0.0,,0.1705,0.7843,0.2614,5.0,8558891.0,3.0,4.0,285.0,22.0,0.077192985,0.9231,0.3972,3.0,True
False,0.0,0.2815,0.3888,0.8133,0.2711,6.0,8611611.0,3.0,4.0,305.0,22.0,0.07213115,0.9249,0.4047,,False
False,0.0,0.3594,0.4385,0.7822,0.2607,7.0,10295340.0,3.0,4.0,325.0,22.0,0.06769231,0.9247,0.406,,False
False,0.0,0.4263,0.5996,0.8329,0.2776,8.0,10909973.0,3.0,4.0,398.0,73.0,0.18341708,0.925,0.4178,,False
False,0.0,0.0642,0.0915,0.6352,0.2117,9.0,14861759.0,3.0,4.0,325.0,73.0,0.22461538,0.9223,0.4261,,True
False,0.0,0.0834,0.0532,0.1332,0.0444,10.0,46254083.0,3.0,4.0,272.0,53.0,0.19485295,0.8013,0.2296,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,53.0,1.0,0.9276,0.2599,3.0,False
False,0.0,0.988,0.988,0.988,0.988,1.0,284340.0,1.0,1.0,106.0,53.0,0.5,0.9297,0.2907,,False
False,0.0,0.988,0.988,0.988,0.988,2.0,287248.0,1.0,1.0,159.0,53.0,0.33333334,0.9294,0.3329,,False
False,0.0,,,0.9802,0.9802,3.0,482237.0,1.0,2.0,212.0,53.0,0.25,0.9285,0.3788,,True
False,0.0,,0.5,0.9175,0.4587,4.0,3897429.0,2.0,3.0,265.0,53.0,0.2,0.9264,0.4056,,True
False,0.0,,0.1705,0.7843,0.2614,5.0,8558891.0,3.0,4.0,285.0,22.0,0.077192985,0.9231,0.3972,3.0,True
False,0.0,0.2815,0.3888,0.8133,0.2711,6.0,8611611.0,3.0,4.0,305.0,22.0,0.07213115,0.9249,0.4047,,False
False,0.0,0.3594,0.4385,0.7822,0.2607,7.0,10295340.0,3.0,4.0,325.0,22.0,0.06769231,0.9247,0.406,,False
False,0.0,0.4263,0.5996,0.8329,0.2776,8.0,10909973.0,3.0,4.0,398.0,73.0,0.18341708,0.925,0.4178,,False
False,0.0,0.0642,0.0915,0.6352,0.2117,9.0,14861759.0,3.0,4.0,325.0,73.0,0.22461538,0.9223,0.4261,,True
False,0.0,0.0834,0.0532,0.1332,0.0444,10.0,46254083.0,3.0,4.0,272.0,53.0,0.19485295,0.8013,0.2296,,False
False,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,53.0,53.0,1.0,0.9276,0.2599,3.0,False
False,0.0,0.988,0.988,0.988,0.988,1.0,284340.0,1.0,1.0,106.0,53.0,0.5,0.9297,0.2907,,False
False,0.0,0.988,0.988,0.988,0.988,2.0,287248.0,1.0,1.0,159.0,53.0,0.33333334,0.9294,0.3329,,False
False,0.0,,,0.9802,0.9802,3.0,482237.0,1.0,2.0,212.0,53.0,0.25,0.9285,0.3788,,True
False,0.0,,0.5,0.9175,0.4587,4.0,3897429.0,2.0,3.0,265.0,53.0,0.2,0.9264,0.4056,,True
